Data;ID sklepu;Miasto;Kategoria;SKU;Wartość waste (PLN);Powód
2024-01-02;PLN-107;Częstochowa;Warzywa i owoce;Sałata lodowa;5.43;Reklamacja jakościowa od klienta
2024-01-02;PLN-025;Kraków;Nabiał i jaja;Śmietana;232.37;Błąd zatowarowania (nadmiar)
2024-01-02;PLN-071;Poznań;Mięso i wędliny;Mielone wieprzowo-wołowe;87.54;Błąd zatowarowania (nadmiar)
2024-01-02;PLN-140;Radom;Nabiał i jaja;Mleko świeże;596.86;Przeterminowanie (nie udało się sprzedać)
2024-01-02;PLN-140;Radom;Nabiał i jaja;Mleko świeże;16.47;Reklamacja jakościowa od klienta
2024-01-02;PLN-048;Wrocław;Pieczywo;Bułki kajzerki;22.25;Błąd zatowarowania (nadmiar)
2024-01-02;PLN-084;Gdańsk;Ryby i mrożonki;Łosoś świeży;132.78;Przeterminowanie (nie udało się sprzedać)
2024-01-02;PLN-019;Warszawa;Mięso i wędliny;Wieprzowina łopatka;5.25;Przeterminowanie (nie udało się sprzedać)
2024-01-02;PLN-124;Leszno;Nabiał i jaja;Mleko świeże;139.1;Błąd zatowarowania (nadmiar)
2024-01-03;PLN-072;Poznań;Nabiał i jaja;Śmietana;178.34;Przeterminowanie (nie udało się sprzedać)
2024-01-03;PLN-013;Warszawa;Mięso i wędliny;Kurczak filet;28.64;Przeterminowanie (nie udało się sprzedać)
2024-01-03;PLN-128;Nowy Sącz;Ryby i mrożonki;Krewetki świeże;315.17;Przeterminowanie (nie udało się sprzedać)
2024-01-03;PLN-065;Poznań;Warzywa i owoce;Sałata lodowa;117.39;Przeterminowanie (nie udało się sprzedać)
2024-01-03;PLN-069;Poznań;Nabiał i jaja;Ser pleśniowy;5.0;Przeterminowanie (nie udało się sprzedać)
2024-01-03;PLN-010;Warszawa;Pieczywo;Bułki kajzerki;493.42;Błąd zatowarowania (nadmiar)
2024-01-04;PLN-002;Warszawa;Mięso i wędliny;Wieprzowina łopatka;53.91;Łańcuch chłodniczy — błąd
2024-01-04;PLN-059;Poznań;Pieczywo;Bułki kajzerki;252.31;Reklamacja jakościowa od klienta
2024-01-05;PLN-132;Legnica;Nabiał i jaja;Mleko świeże;31.43;Przeterminowanie (nie udało się sprzedać)
2024-01-05;PLN-087;Gdańsk;Pieczywo;Bułki kajzerki;337.57;Reklamacja jakościowa od klienta
2024-01-05;PLN-053;Wrocław;Mięso i wędliny;Wieprzowina łopatka;230.26;Przeterminowanie (nie udało się sprzedać)
2024-01-05;PLN-007;Warszawa;Warzywa i owoce;Borówki;54.96;Przeterminowanie (nie udało się sprzedać)
2024-01-07;PLN-058;Poznań;Mięso i wędliny;Karkówka;32.03;Przeterminowanie (nie udało się sprzedać)
2024-01-07;PLN-027;Kraków;Mięso i wędliny;Schab;92.79;Przeterminowanie (nie udało się sprzedać)
2024-01-07;PLN-134;Wałbrzych;Mięso i wędliny;Wieprzowina łopatka;20.95;Przeterminowanie (nie udało się sprzedać)
2024-01-07;PLN-063;Poznań;Ryby i mrożonki;Pstrąg;66.33;Błąd zatowarowania (nadmiar)
2024-01-07;PLN-067;Poznań;Mięso i wędliny;Kurczak filet;15.21;Błąd zatowarowania (nadmiar)
2024-01-07;PLN-099;Szczecin;Ryby i mrożonki;Łosoś świeży;30.14;Uszkodzenie mechaniczne
2024-01-07;PLN-037;Kraków;Warzywa i owoce;Sałata lodowa;162.51;Przeterminowanie (nie udało się sprzedać)
2024-01-08;PLN-014;Warszawa;Mięso i wędliny;Schab;22.61;Przeterminowanie (nie udało się sprzedać)
2024-01-08;PLN-006;Warszawa;Nabiał i jaja;Jogurt naturalny;51.28;Przeterminowanie (nie udało się sprzedać)
2024-01-08;PLN-118;Gniezno;Ryby i mrożonki;Pstrąg;87.65;Przeterminowanie (nie udało się sprzedać)
2024-01-08;PLN-081;Łódź;Mięso i wędliny;Karkówka;110.29;Uszkodzenie mechaniczne
2024-01-09;PLN-120;Konin;Warzywa i owoce;Truskawki;95.28;Przeterminowanie (nie udało się sprzedać)
2024-01-09;PLN-035;Kraków;Warzywa i owoce;Pomidory koktajl;6.77;Łańcuch chłodniczy — błąd
2024-01-09;PLN-021;Warszawa;Ryby i mrożonki;Krewetki świeże;56.14;Przeterminowanie (nie udało się sprzedać)
2024-01-09;PLN-051;Wrocław;Mięso i wędliny;Schab;152.59;Przeterminowanie (nie udało się sprzedać)
2024-01-09;PLN-140;Radom;Pieczywo;Tort biszkoptowy;5.62;Przeterminowanie (nie udało się sprzedać)
2024-01-09;PLN-016;Warszawa;Mięso i wędliny;Mielone wieprzowo-wołowe;84.08;Przeterminowanie (nie udało się sprzedać)
2024-01-10;PLN-082;Łódź;Pieczywo;Chleb wiejski;97.18;Uszkodzenie mechaniczne
2024-01-10;PLN-099;Szczecin;Mięso i wędliny;Wieprzowina łopatka;11.67;Przeterminowanie (nie udało się sprzedać)
2024-01-11;PLN-060;Poznań;Warzywa i owoce;Borówki;152.55;Łańcuch chłodniczy — błąd
2024-01-11;PLN-014;Warszawa;Pieczywo;Bułki kajzerki;164.35;Łańcuch chłodniczy — błąd
2024-01-11;PLN-083;Łódź;Ryby i mrożonki;Pstrąg;79.27;Łańcuch chłodniczy — błąd
2024-01-11;PLN-025;Kraków;Mięso i wędliny;Kurczak filet;40.32;Przeterminowanie (nie udało się sprzedać)
2024-01-11;PLN-115;Płock;Warzywa i owoce;Awokado;71.38;Przeterminowanie (nie udało się sprzedać)
2024-01-11;PLN-097;Szczecin;Ryby i mrożonki;Pstrąg;252.64;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-132;Legnica;Nabiał i jaja;Jogurt naturalny;220.73;Uszkodzenie mechaniczne
2024-01-12;PLN-078;Łódź;Mięso i wędliny;Wieprzowina łopatka;154.65;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-046;Wrocław;Pieczywo;Bagietka;78.15;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-119;Gniezno;Nabiał i jaja;Jogurt naturalny;73.49;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-134;Wałbrzych;Nabiał i jaja;Twaróg;84.95;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-061;Poznań;Pieczywo;Bułki kajzerki;16.03;Przeterminowanie (nie udało się sprzedać)
2024-01-12;PLN-122;Leszno;Pieczywo;Bułki kajzerki;5.0;Uszkodzenie mechaniczne
