Tydzień;Data początku tygodnia;SKU;Grupa;Cena PLON (PLN);Cena Biedronka (PLN);Cena Lidl (PLN);Cena Żabka (PLN);Cena Carrefour (PLN)
2024-W00;2024-01-01;Mleko UHT 3.2% 1L;Nabiał;4.43;4.24;4.1;4.91;4.68
2024-W00;2024-01-01;Chleb wiejski 500g;Pieczywo;6.91;6.6;6.79;7.59;6.98
2024-W00;2024-01-01;Jajka L 10szt;Nabiał;9.57;9.14;9.05;10.13;9.85
2024-W00;2024-01-01;Masło ekstra 200g;Nabiał;9.09;8.52;9.21;9.51;9.23
2024-W00;2024-01-01;Banany 1kg;Owoce;5.63;5.25;5.33;6.44;5.9
2024-W00;2024-01-01;Pomidory 1kg;Warzywa;10.03;9.66;9.71;10.42;10.14
2024-W00;2024-01-01;Jabłka Ligol 1kg;Owoce;4.23;3.93;3.97;4.64;4.3
2024-W00;2024-01-01;Kurczak filet 1kg;Mięso;25.02;24.5;23.41;28.78;25.74
2024-W00;2024-01-01;Mielone wieprz. 500g;Mięso;14.88;13.96;13.85;15.67;14.98
2024-W00;2024-01-01;Karkówka 1kg;Mięso;27.43;26.26;26.1;27.91;27.41
2024-W00;2024-01-01;Coca-Cola 2L;Napoje;8.53;7.82;7.96;8.84;8.83
2024-W00;2024-01-01;Pepsi 2L;Napoje;8.02;7.71;7.8;8.92;7.66
2024-W00;2024-01-01;Woda Żywiec 1.5L;Napoje;2.45;2.35;2.37;2.76;2.58
2024-W00;2024-01-01;Piwo Tyskie 0.5L;Alkohol;3.87;3.72;3.57;4.39;3.85
2024-W00;2024-01-01;Piwo Lech 0.5L;Alkohol;3.82;3.66;3.44;4.27;3.73
2024-W00;2024-01-01;Wódka Wyborowa 0.5L;Alkohol;33.2;32.54;31.18;38.95;35.55
2024-W00;2024-01-01;Kawa Jacobs 250g;Suche;19.25;18.63;18.78;21.54;19.81
2024-W00;2024-01-01;Cukier biały 1kg;Suche;4.52;4.42;4.34;5.05;4.54
2024-W00;2024-01-01;Mąka pszenna 1kg;Suche;3.24;2.9;2.93;3.52;3.26
2024-W00;2024-01-01;Ryż biały 1kg;Suche;6.94;7.04;6.78;7.67;6.98
2024-W00;2024-01-01;Makaron Lubella 500g;Suche;4.46;4.16;4.26;5.09;4.4
2024-W00;2024-01-01;Olej rzepakowy 1L;Suche;9.13;8.78;9.06;10.32;9.89
2024-W00;2024-01-01;Płatki Nestle 250g;Suche;9.75;9.03;9.48;10.49;9.34
2024-W00;2024-01-01;Czekolada Wedel 100g;Słodycze;5.68;5.33;5.4;6.53;5.93
2024-W00;2024-01-01;Lody Magnum 4-pack;Lody;14.95;15.1;13.86;15.66;16.44
2024-W00;2024-01-01;Pampers 4 26szt;Dziecko;49.17;47.58;46.39;53.88;49.7
2024-W00;2024-01-01;Papier toaletowy 8r;Chemia;14.8;14.1;13.65;16.09;16.16
2024-W00;2024-01-01;Proszek Persil 5kg;Chemia;48.61;46.57;42.79;53.38;48.42
2024-W00;2024-01-01;Karma Whiskas 400g;Zwierzęta;5.54;5.28;5.24;6.27;5.81
2024-W00;2024-01-01;Karma Pedigree 1.2kg;Zwierzęta;12.29;11.42;11.31;14.02;12.28
2024-W01;2024-01-08;Mleko UHT 3.2% 1L;Nabiał;4.52;4.43;4.12;5.1;4.85
2024-W01;2024-01-08;Chleb wiejski 500g;Pieczywo;7.02;6.82;6.75;7.86;7.12
2024-W01;2024-01-08;Jajka L 10szt;Nabiał;9.42;8.83;8.71;10.74;9.33
