Data;ID sklepu;Miasto;Kategoria;SKU;Czas trwania (h);Szac. utrata sprzedaży (PLN);Powód
2024-01-02;PLN-130;Nowy Sącz;Mięso i wędliny;Mleko UHT 3.2% 1L;5.1;344;Opóźniona dostawa
2024-01-02;PLN-051;Wrocław;Słodycze i przekąski;Pieczywo razowe 400g;1.2;33;Opóźniona dostawa
2024-01-02;PLN-137;Jelenia Góra;Non-food / dom;Wieprzowina karkówka 1kg;5.2;19;Niedoszacowana prognoza popytu
2024-01-02;PLN-094;Bydgoszcz;Karma i akcesoria zwierzęce;Pomidory 1kg;4.2;74;Burst popytowy (event/pogoda)
2024-01-02;PLN-003;Warszawa;Pieczywo;Sok pomarańcz. 1L;7.4;65;Niedoszacowana prognoza popytu
2024-01-02;PLN-025;Kraków;Nabiał i jaja;Polędwica wołowa;0.3;19;Niedoszacowana prognoza popytu
2024-01-02;PLN-078;Łódź;Mrożonki;Kurczak filet 1kg;1.2;9;Opóźniona dostawa
2024-01-03;PLN-096;Bydgoszcz;Pieczywo;Pomidory 1kg;1.2;11;Opóźniona dostawa
2024-01-03;PLN-065;Poznań;Nabiał i jaja;Twaróg 250g;2.9;410;Opóźniona dostawa
2024-01-03;PLN-043;Wrocław;Sucha żywność / kasze;Pomidory 1kg;3.8;104;Awaria dostawcy
2024-01-03;PLN-018;Warszawa;Dziecko;Sok pomarańcz. 1L;1.4;16;Niedoszacowana prognoza popytu
2024-01-03;PLN-012;Warszawa;Mięso i wędliny;Jabłka 1kg;2.0;89;Błąd kierownika sklepu
2024-01-03;PLN-139;Radom;Non-food / dom;Wieprzowina karkówka 1kg;3.0;251;Burst popytowy (event/pogoda)
2024-01-03;PLN-096;Bydgoszcz;Warzywa i owoce;Wieprzowina karkówka 1kg;4.6;352;Opóźniona dostawa
2024-01-04;PLN-050;Wrocław;Chemia i higiena;Wieprzowina karkówka 1kg;2.4;64;Opóźniona dostawa
2024-01-04;PLN-123;Leszno;Dziecko;Wieprzowina karkówka 1kg;0.7;134;Niedoszacowana prognoza popytu
2024-01-04;PLN-023;Warszawa;Karma i akcesoria zwierzęce;Pomidory 1kg;17.6;506;Burst popytowy (event/pogoda)
2024-01-04;PLN-024;Warszawa;Nabiał i jaja;Łosoś świeży 200g;0.3;1;Opóźniona dostawa
2024-01-04;PLN-021;Warszawa;Piwo i alkohol;Łosoś świeży 200g;0.8;11;Burst popytowy (event/pogoda)
2024-01-04;PLN-140;Radom;Pieczywo;Kefir 400g;9.5;90;Opóźniona dostawa
2024-01-04;PLN-076;Łódź;Dziecko;Masło 200g;7.2;50;Awaria dostawcy
2024-01-05;PLN-108;Częstochowa;Piwo i alkohol;Kurczak filet 1kg;12.48;936;Opóźniona dostawa
2024-01-05;PLN-051;Wrocław;Piwo i alkohol;Wieprzowina karkówka 1kg;2.34;9;Niedoszacowana prognoza popytu
2024-01-05;PLN-077;Łódź;Karma i akcesoria zwierzęce;Twaróg 250g;0.52;34;Błąd kierownika sklepu
2024-01-05;PLN-038;Kraków;Pieczywo;Łosoś świeży 200g;1.04;92;Brak na centralnym magazynie
2024-01-05;PLN-119;Gniezno;Mięso i wędliny;Pomidory 1kg;18.07;3;Opóźniona dostawa
2024-01-08;PLN-112;Kalisz;Warzywa i owoce;Masło 200g;3.4;119;Burst popytowy (event/pogoda)
2024-01-08;PLN-106;Częstochowa;Nabiał i jaja;Jabłka 1kg;7.0;122;Awaria dostawcy
2024-01-08;PLN-052;Wrocław;Warzywa i owoce;Polędwica wołowa;1.7;31;Burst popytowy (event/pogoda)
2024-01-08;PLN-014;Warszawa;Piwo i alkohol;Łosoś świeży 200g;0.4;15;Opóźniona dostawa
2024-01-08;PLN-017;Warszawa;Ryby i mrożonki;Pieczywo razowe 400g;7.7;165;Niedoszacowana prognoza popytu
2024-01-08;PLN-065;Poznań;Nabiał i jaja;Pomidory 1kg;4.0;6;Burst popytowy (event/pogoda)
2024-01-08;PLN-136;Jelenia Góra;Mrożonki;Sok pomarańcz. 1L;0.7;56;Opóźniona dostawa
2024-01-09;PLN-048;Wrocław;Sucha żywność / kasze;Sok pomarańcz. 1L;5.7;27;Opóźniona dostawa
2024-01-09;PLN-025;Kraków;Słodycze i przekąski;Wieprzowina karkówka 1kg;2.1;200;Niedoszacowana prognoza popytu
2024-01-09;PLN-092;Lublin;Piwo i alkohol;Mleko UHT 3.2% 1L;1.6;196;Burst popytowy (event/pogoda)
2024-01-09;PLN-052;Wrocław;Nabiał i jaja;Masło 200g;8.6;325;Awaria dostawcy
2024-01-09;PLN-137;Jelenia Góra;Mięso i wędliny;Polędwica wołowa;16.4;919;Opóźniona dostawa
2024-01-10;PLN-034;Kraków;Słodycze i przekąski;Pomidory 1kg;0.9;36;Brak na centralnym magazynie
2024-01-10;PLN-075;Łódź;Pieczywo;Kefir 400g;2.8;397;Niedoszacowana prognoza popytu
2024-01-10;PLN-073;Łódź;Sucha żywność / kasze;Kefir 400g;11.3;460;Niedoszacowana prognoza popytu
2024-01-10;PLN-067;Poznań;Warzywa i owoce;Jajka L 10szt;1.9;11;Błąd kierownika sklepu
2024-01-10;PLN-138;Radom;Nabiał i jaja;Pieczywo razowe 400g;1.3;7;Niedoszacowana prognoza popytu
2024-01-11;PLN-071;Poznań;Nabiał i jaja;Łosoś świeży 200g;0.9;105;Błąd kierownika sklepu
2024-01-11;PLN-102;Katowice;Warzywa i owoce;Mleko UHT 3.2% 1L;0.3;3;Burst popytowy (event/pogoda)
