Data;Miasto;Temp_min (°C);Temp_avg (°C);Temp_max (°C);Opady (mm);Śnieg (cm);Nasłonecznienie (h);Kategoria pogody
2024-01-01;Warszawa;-11.7;-4.5;2.0;1.7;3.1;1.2;Śnieg
2024-01-02;Warszawa;-13.6;-11.1;-9.5;0.0;0.0;7.2;Słonecznie
2024-01-03;Warszawa;-12.0;-5.4;0.2;0.0;0.0;7.5;Słonecznie
2024-01-04;Warszawa;-3.9;-3.2;2.2;0.0;0.2;9.9;Śnieg
2024-01-05;Warszawa;-10.0;-5.1;-1.7;0.0;0.0;7.0;Pochmurno
2024-01-06;Warszawa;-10.1;-4.2;2.5;5.4;0.3;2.2;Śnieg
2024-01-07;Warszawa;-11.5;-8.8;-1.1;0.0;0.0;9.0;Słonecznie
2024-01-08;Warszawa;-12.0;-6.7;0.6;0.0;0.0;6.9;Pochmurno
2024-01-09;Warszawa;-10.2;-7.0;-0.3;3.6;2.1;4.3;Śnieg
2024-01-10;Warszawa;-14.8;-10.4;-7.3;0.0;4.3;6.8;Śnieg
2024-01-11;Warszawa;-17.1;-10.9;-4.7;0.0;0.3;7.9;Śnieg
2024-01-12;Warszawa;-13.4;-5.4;-0.8;7.2;4.8;2.1;Śnieg
2024-01-13;Warszawa;-5.8;-0.9;4.4;0.0;0.3;9.1;Śnieg
2024-01-14;Warszawa;-6.7;-0.7;7.2;0.0;4.9;6.8;Śnieg
2024-01-15;Warszawa;-11.4;-6.2;3.3;0.0;0.0;9.3;Słonecznie
2024-01-16;Warszawa;-11.4;-7.6;-0.7;0.0;0.0;6.6;Pochmurno
2024-01-17;Warszawa;-4.1;-3.6;1.0;0.0;0.8;9.5;Śnieg
2024-01-18;Warszawa;-13.4;-6.9;-2.4;0.0;0.3;4.4;Śnieg
2024-01-19;Warszawa;-8.0;-6.0;0.4;1.6;0.0;1.6;Pochmurno z opadami
2024-01-20;Warszawa;-6.5;-0.8;3.7;0.0;0.0;5.3;Pochmurno
2024-01-21;Warszawa;-2.9;1.2;6.2;0.0;0.0;7.9;Słonecznie
2024-01-22;Warszawa;-9.2;-5.4;-1.5;0.0;0.1;6.7;Śnieg
2024-01-23;Warszawa;-1.1;1.2;8.7;2.0;0.0;0.0;Pochmurno z opadami
2024-01-24;Warszawa;-3.3;-2.5;1.9;6.9;5.3;1.1;Śnieg
2024-01-25;Warszawa;-12.7;-9.9;-6.9;0.0;0.0;12.2;Słonecznie
2024-01-26;Warszawa;-9.2;-3.3;3.0;0.0;0.0;5.3;Pochmurno
2024-01-27;Warszawa;-12.1;-7.3;-4.5;0.4;0.0;3.7;Pochmurno z opadami
2024-01-28;Warszawa;-6.1;-3.5;1.9;0.0;0.0;8.6;Słonecznie
2024-01-29;Warszawa;-3.7;-1.2;2.6;0.0;4.1;5.8;Śnieg
2024-01-30;Warszawa;-6.9;-4.8;1.8;0.0;3.1;7.6;Śnieg
2024-01-31;Warszawa;-11.9;-9.2;-1.8;0.0;0.6;3.8;Śnieg
2024-02-01;Warszawa;-15.9;-9.2;-8.0;0.0;0.6;12.1;Śnieg
2024-02-02;Warszawa;-6.8;-2.9;1.5;0.0;0.0;11.2;Słonecznie
2024-02-03;Warszawa;-4.5;0.5;4.4;0.0;0.0;7.0;Pochmurno
2024-02-04;Warszawa;-13.2;-9.1;-7.0;0.0;0.0;9.3;Słonecznie
2024-02-05;Warszawa;-4.8;0.2;4.4;0.0;0.0;9.3;Słonecznie
2024-02-06;Warszawa;-10.1;-4.6;3.4;0.0;0.0;10.4;Słonecznie
2024-02-07;Warszawa;-12.5;-10.4;-6.5;0.0;0.0;8.1;Słonecznie
2024-02-08;Warszawa;-6.6;-3.7;1.6;0.0;0.0;6.2;Pochmurno
2024-02-09;Warszawa;-8.7;-6.8;-3.4;0.0;0.0;4.8;Pochmurno
2024-02-10;Warszawa;-13.3;-7.7;-4.4;0.0;2.0;14.0;Śnieg
2024-02-11;Warszawa;-8.9;-4.6;1.5;0.0;0.0;4.4;Pochmurno
2024-02-12;Warszawa;-7.8;-4.8;-2.9;0.0;0.0;10.4;Słonecznie
2024-02-13;Warszawa;-10.0;-5.7;-0.4;0.0;0.0;7.2;Słonecznie
2024-02-14;Warszawa;-3.0;0.9;3.1;0.0;3.1;7.0;Śnieg
2024-02-15;Warszawa;-8.2;-2.7;3.4;0.0;0.8;4.2;Śnieg
2024-02-16;Warszawa;-11.7;-8.1;-1.2;0.0;2.4;8.3;Śnieg
2024-02-17;Warszawa;-8.3;-2.7;3.8;0.0;0.5;9.1;Śnieg
2024-02-18;Warszawa;-12.3;-8.4;-1.9;0.0;0.1;8.3;Śnieg
2024-02-19;Warszawa;-12.6;-7.0;-2.1;0.0;3.6;9.6;Śnieg
2024-02-20;Warszawa;-10.5;-5.2;-2.7;0.0;0.0;9.2;Słonecznie
2024-02-21;Warszawa;-12.6;-6.7;-2.2;0.0;0.0;8.3;Słonecznie
2024-02-22;Warszawa;-3.6;-2.5;1.3;0.0;0.0;10.5;Słonecznie
2024-02-23;Warszawa;-5.5;-1.1;1.5;0.0;0.0;9.4;Słonecznie
2024-02-24;Warszawa;-5.4;-1.4;5.8;0.0;0.0;6.4;Pochmurno
2024-02-25;Warszawa;-4.9;-4.6;2.0;0.0;7.5;8.8;Śnieg
2024-02-26;Warszawa;-10.5;-4.3;3.5;0.0;0.5;6.7;Śnieg
2024-02-27;Warszawa;-6.6;-3.8;-0.6;0.9;0.1;0.0;Śnieg
2024-02-28;Warszawa;-10.4;-8.2;-5.1;0.0;5.4;9.6;Śnieg
2024-02-29;Warszawa;-3.5;0.1;5.1;0.0;0.0;9.6;Słonecznie
2024-03-01;Warszawa;-10.2;-5.6;-0.3;0.0;0.0;9.2;Słonecznie
2024-03-02;Warszawa;-9.2;-1.5;2.4;0.0;0.0;6.7;Pochmurno
2024-03-03;Warszawa;-7.0;-3.9;0.0;0.0;0.0;10.9;Słonecznie
2024-03-04;Warszawa;-1.1;2.0;5.5;0.0;0.0;9.1;Słonecznie
2024-03-05;Warszawa;-8.3;-3.3;2.0;0.0;0.0;4.4;Pochmurno
2024-03-06;Warszawa;-4.0;2.7;6.6;0.0;0.0;7.1;Słonecznie
2024-03-07;Warszawa;-5.1;-0.6;5.5;0.0;0.0;12.8;Słonecznie
2024-03-08;Warszawa;-4.6;-1.8;0.8;0.0;0.0;6.2;Pochmurno
2024-03-09;Warszawa;-7.9;-1.2;2.9;0.0;0.0;8.5;Słonecznie
2024-03-10;Warszawa;-6.7;-0.9;8.6;0.0;0.0;6.7;Pochmurno
2024-03-11;Warszawa;-7.6;-2.1;4.1;0.0;0.0;12.4;Słonecznie
2024-03-12;Warszawa;-2.3;1.1;7.2;0.0;0.0;10.7;Słonecznie
2024-03-13;Warszawa;-2.8;2.0;8.9;0.0;0.0;10.8;Słonecznie
2024-03-14;Warszawa;-1.2;3.7;8.4;1.4;0.0;2.4;Pochmurno z opadami
2024-03-15;Warszawa;-6.6;-1.9;3.9;2.5;0.0;3.0;Pochmurno z opadami
2024-03-16;Warszawa;-3.3;0.8;3.4;0.0;0.0;9.8;Słonecznie
2024-03-17;Warszawa;-5.0;2.3;6.7;0.0;0.0;8.5;Słonecznie
2024-03-18;Warszawa;-5.0;1.4;6.2;0.0;0.0;8.7;Słonecznie
2024-03-19;Warszawa;-1.7;2.6;6.8;0.0;0.0;8.5;Słonecznie
2024-03-20;Warszawa;1.6;4.1;9.3;0.0;0.0;6.3;Pochmurno
2024-03-21;Warszawa;2.9;4.6;8.6;0.0;0.0;8.9;Słonecznie
2024-03-22;Warszawa;2.0;5.9;9.9;0.0;0.0;12.5;Słonecznie
2024-03-23;Warszawa;-3.0;-2.3;3.5;0.0;0.0;6.8;Pochmurno
2024-03-24;Warszawa;-6.0;-0.9;4.5;0.0;0.0;6.6;Pochmurno
2024-03-25;Warszawa;-6.7;-1.4;4.7;0.0;0.0;7.8;Słonecznie
2024-03-26;Warszawa;5.2;7.5;9.8;0.0;0.0;6.3;Pochmurno
2024-03-27;Warszawa;-1.9;2.5;7.0;0.0;0.0;8.8;Słonecznie
2024-03-28;Warszawa;-6.8;-0.7;4.2;0.0;0.0;10.7;Słonecznie
2024-03-29;Warszawa;-0.7;4.0;10.0;0.0;0.0;9.1;Słonecznie
2024-03-30;Warszawa;-0.9;5.1;10.4;0.0;0.0;9.7;Słonecznie
2024-03-31;Warszawa;-2.9;3.3;7.0;0.0;0.0;12.3;Słonecznie
2024-04-01;Warszawa;1.8;3.6;8.8;0.0;0.0;6.4;Pochmurno
2024-04-02;Warszawa;3.3;6.3;10.5;0.0;0.0;3.5;Pochmurno
2024-04-03;Warszawa;2.6;2.9;5.1;0.0;0.0;9.8;Słonecznie
2024-04-04;Warszawa;2.0;6.6;9.9;0.0;0.0;7.9;Słonecznie
2024-04-05;Warszawa;2.4;4.6;12.4;0.0;0.0;10.1;Słonecznie
2024-04-06;Warszawa;0.2;4.3;9.6;0.0;0.0;3.1;Pochmurno
2024-04-07;Warszawa;1.5;4.4;7.6;0.0;0.0;7.3;Słonecznie
2024-04-08;Warszawa;5.4;10.4;14.4;0.0;0.0;9.4;Słonecznie
2024-04-09;Warszawa;4.1;9.5;14.6;0.0;0.0;6.4;Pochmurno
2024-04-10;Warszawa;3.2;7.8;14.4;0.0;0.0;9.5;Słonecznie
2024-04-11;Warszawa;5.8;9.0;16.4;0.0;0.0;8.5;Słonecznie
2024-04-12;Warszawa;9.2;12.1;20.3;0.0;0.0;8.5;Słonecznie
2024-04-13;Warszawa;1.5;4.7;9.2;0.0;0.0;9.0;Słonecznie
2024-04-14;Warszawa;5.1;8.3;13.2;0.0;0.0;13.1;Słonecznie
2024-04-15;Warszawa;7.2;11.9;16.9;0.0;0.0;8.3;Słonecznie
2024-04-16;Warszawa;6.5;9.0;13.5;0.0;0.0;4.0;Pochmurno
2024-04-17;Warszawa;3.7;8.6;12.8;0.0;0.0;11.8;Słonecznie
2024-04-18;Warszawa;2.5;4.3;9.7;2.0;0.0;4.5;Pochmurno z opadami
2024-04-19;Warszawa;1.0;7.7;9.8;3.1;0.0;0.6;Pochmurno z opadami
2024-04-20;Warszawa;6.3;12.4;16.2;0.0;0.0;8.9;Słonecznie
2024-04-21;Warszawa;5.5;9.9;13.9;12.4;0.0;0.4;Deszcz
2024-04-22;Warszawa;6.1;9.6;11.7;0.0;0.0;7.9;Słonecznie
2024-04-23;Warszawa;2.9;8.5;9.5;0.0;0.0;8.6;Słonecznie
2024-04-24;Warszawa;1.5;6.0;11.6;0.0;0.0;7.8;Słonecznie
2024-04-25;Warszawa;9.6;11.7;18.7;0.5;0.0;0.3;Pochmurno z opadami
2024-04-26;Warszawa;4.8;9.6;14.7;0.0;0.0;4.9;Pochmurno
2024-04-27;Warszawa;9.5;12.7;14.9;0.0;0.0;7.0;Pochmurno
2024-04-28;Warszawa;9.1;14.4;18.7;0.1;0.0;1.2;Pochmurno z opadami
2024-04-29;Warszawa;6.9;12.8;20.0;0.0;0.0;7.8;Słonecznie
2024-04-30;Warszawa;5.7;11.7;16.1;0.4;0.0;2.9;Pochmurno z opadami
2024-05-01;Warszawa;6.7;10.7;17.0;0.0;0.0;8.1;Słonecznie
2024-05-02;Warszawa;9.3;13.2;18.3;0.0;0.0;3.2;Pochmurno
2024-05-03;Warszawa;9.4;13.9;20.7;0.0;0.0;1.0;Pochmurno
2024-05-04;Warszawa;13.6;17.4;24.4;0.8;0.0;0.0;Pochmurno z opadami
2024-05-05;Warszawa;9.6;12.6;19.5;0.0;0.0;7.6;Słonecznie
2024-05-06;Warszawa;10.9;13.6;18.5;0.0;0.0;12.8;Słonecznie
2024-05-07;Warszawa;10.5;15.0;19.2;0.0;0.0;8.2;Słonecznie
2024-05-08;Warszawa;8.4;13.1;16.1;0.0;0.0;9.6;Słonecznie
2024-05-09;Warszawa;3.2;9.7;13.3;0.0;0.0;8.7;Słonecznie
2024-05-10;Warszawa;12.1;15.8;21.4;0.0;0.0;11.4;Słonecznie
2024-05-11;Warszawa;10.2;14.8;16.7;0.0;0.0;5.8;Pochmurno
2024-05-12;Warszawa;11.5;16.3;22.6;0.0;0.0;9.5;Słonecznie
2024-05-13;Warszawa;13.6;17.2;22.4;0.0;0.0;5.5;Pochmurno
2024-05-14;Warszawa;8.7;10.3;13.7;0.0;0.0;11.7;Słonecznie
2024-05-15;Warszawa;6.2;9.7;12.4;0.0;0.0;6.6;Pochmurno
2024-05-16;Warszawa;11.8;14.8;21.7;0.0;0.0;11.7;Słonecznie
2024-05-17;Warszawa;5.2;8.2;13.3;0.0;0.0;10.7;Słonecznie
2024-05-18;Warszawa;9.5;13.4;16.3;0.0;0.0;4.3;Pochmurno
2024-05-19;Warszawa;17.7;19.0;28.2;0.0;0.0;9.7;Słonecznie
2024-05-20;Warszawa;12.2;17.0;21.6;0.0;0.0;8.9;Słonecznie
2024-05-21;Warszawa;10.0;14.8;19.7;0.0;0.0;5.7;Pochmurno
2024-05-22;Warszawa;10.6;13.1;19.8;0.0;0.0;6.5;Pochmurno
2024-05-23;Warszawa;5.8;10.4;18.1;0.0;0.0;9.9;Słonecznie
2024-05-24;Warszawa;12.6;14.2;19.0;0.0;0.0;7.6;Słonecznie
2024-05-25;Warszawa;8.6;13.4;21.7;0.0;0.0;8.5;Słonecznie
2024-05-26;Warszawa;14.2;16.8;24.3;0.0;0.0;7.8;Słonecznie
2024-05-27;Warszawa;10.8;14.9;20.7;0.0;0.0;8.3;Słonecznie
2024-05-28;Warszawa;15.5;20.1;24.6;0.8;0.0;3.0;Pochmurno z opadami
2024-05-29;Warszawa;6.3;13.0;15.7;5.3;0.0;0.3;Pochmurno z opadami
2024-05-30;Warszawa;16.2;19.3;27.6;0.0;0.0;6.0;Pochmurno
2024-05-31;Warszawa;15.1;17.9;26.9;0.0;0.0;5.0;Pochmurno
2024-06-01;Warszawa;16.0;18.9;23.3;0.0;0.0;9.1;Słonecznie
2024-06-02;Warszawa;14.6;21.0;23.3;1.7;0.0;2.6;Pochmurno z opadami
2024-06-03;Warszawa;9.7;17.5;21.1;0.0;0.0;11.9;Słonecznie
2024-06-04;Warszawa;19.5;22.7;28.7;0.0;0.0;11.9;Słonecznie
2024-06-05;Warszawa;13.4;17.1;21.0;0.9;0.0;0.0;Pochmurno z opadami
2024-06-06;Warszawa;12.9;16.7;20.3;0.0;0.0;8.1;Słonecznie
2024-06-07;Warszawa;11.7;16.7;23.6;3.7;0.0;2.3;Pochmurno z opadami
2024-06-08;Warszawa;8.5;13.0;20.2;0.0;0.0;5.1;Pochmurno
2024-06-09;Warszawa;18.8;23.5;27.2;2.9;0.0;1.9;Pochmurno z opadami
2024-06-10;Warszawa;11.2;16.2;19.5;0.0;0.0;8.2;Słonecznie
2024-06-11;Warszawa;20.0;23.5;30.9;0.0;0.0;5.1;Pochmurno
