Data;ID Sklepu;Nazwa produktu;Kategoria;Zalecana ilość do zamówienia;Pewność predykcji
2026-04-01;PLN-020;Mleko UHT 3.2% 1L;Nabiał i jaja;848 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Kefir 400g;Nabiał i jaja;690 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Jabłka 1kg;Warzywa i owoce;658 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Marchew 1kg;Warzywa i owoce;606 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Banany 1kg;Warzywa i owoce;595 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Bagietka;Pieczywo;578 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Pomidory 1kg;Warzywa i owoce;456 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Twaróg 250g;Nabiał i jaja;362 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Pieczywo razowe 400g;Pieczywo;343 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-020;Chleb pszenny 500g;Pieczywo;255 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Mleko UHT 3.2% 1L;Nabiał i jaja;442 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Kefir 400g;Nabiał i jaja;358 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Bagietka;Pieczywo;305 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Banany 1kg;Warzywa i owoce;301 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Jabłka 1kg;Warzywa i owoce;300 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Marchew 1kg;Warzywa i owoce;287 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Pomidory 1kg;Warzywa i owoce;236 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Twaróg 250g;Nabiał i jaja;180 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Pieczywo razowe 400g;Pieczywo;158 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-024;Chleb pszenny 500g;Pieczywo;129 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Mleko UHT 3.2% 1L;Nabiał i jaja;404 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Kefir 400g;Nabiał i jaja;356 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Banany 1kg;Warzywa i owoce;307 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Jabłka 1kg;Warzywa i owoce;305 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Bagietka;Pieczywo;300 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Marchew 1kg;Warzywa i owoce;293 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Pomidory 1kg;Warzywa i owoce;226 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Twaróg 250g;Nabiał i jaja;172 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Pieczywo razowe 400g;Pieczywo;156 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-048;Chleb pszenny 500g;Pieczywo;127 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Mleko UHT 3.2% 1L;Nabiał i jaja;397 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Kefir 400g;Nabiał i jaja;344 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Banany 1kg;Warzywa i owoce;312 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Jabłka 1kg;Warzywa i owoce;307 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Bagietka;Pieczywo;303 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Marchew 1kg;Warzywa i owoce;297 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Pomidory 1kg;Warzywa i owoce;220 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Twaróg 250g;Nabiał i jaja;173 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Pieczywo razowe 400g;Pieczywo;160 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-050;Chleb pszenny 500g;Pieczywo;131 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Mleko UHT 3.2% 1L;Nabiał i jaja;206 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Kefir 400g;Nabiał i jaja;185 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Jabłka 1kg;Warzywa i owoce;157 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Banany 1kg;Warzywa i owoce;152 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Bagietka;Pieczywo;148 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Marchew 1kg;Warzywa i owoce;142 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Pomidory 1kg;Warzywa i owoce;121 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Twaróg 250g;Nabiał i jaja;95 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Pieczywo razowe 400g;Pieczywo;79 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-078;Chleb pszenny 500g;Pieczywo;69 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Mleko UHT 3.2% 1L;Nabiał i jaja;195 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Kefir 400g;Nabiał i jaja;169 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Banany 1kg;Warzywa i owoce;141 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Jabłka 1kg;Warzywa i owoce;133 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Bagietka;Pieczywo;129 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Marchew 1kg;Warzywa i owoce;127 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Pomidory 1kg;Warzywa i owoce;111 kg/szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Twaróg 250g;Nabiał i jaja;82 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Pieczywo razowe 400g;Pieczywo;70 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
2026-04-01;PLN-092;Chleb pszenny 500g;Pieczywo;61 szt.;Średni błąd modelu z ostatnich 7 dni wynosi 121.3%
