Data;ID Sklepu;Nazwa produktu;Kategoria;Zalecana ilość do zamówienia;Łączny koszt (PLN);Pewność predykcji
2026-04-01;115;Jajka L 10szt;Nabiał i jaja;24 szt.;243.36 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;136;Jajka L 10szt;Nabiał i jaja;27 szt.;273.78 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;92;Jajka L 10szt;Nabiał i jaja;31 szt.;314.34 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;115;Chleb pszenny 500g;Pieczywo;46 szt.;335.34 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;78;Jajka L 10szt;Nabiał i jaja;34 szt.;344.76 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;115;Masło 200g;Nabiał i jaja;38 szt.;356.82 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;136;Chleb pszenny 500g;Pieczywo;49 szt.;357.21 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;136;Masło 200g;Nabiał i jaja;40 szt.;375.6 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;92;Chleb pszenny 500g;Pieczywo;59 szt.;430.11 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-01;92;Masło 200g;Nabiał i jaja;46 szt.;431.94 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;115;Jajka L 10szt;Nabiał i jaja;25 szt.;253.5 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;136;Jajka L 10szt;Nabiał i jaja;28 szt.;283.92 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;92;Jajka L 10szt;Nabiał i jaja;32 szt.;324.48 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;115;Chleb pszenny 500g;Pieczywo;47 szt.;342.63 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;115;Masło 200g;Nabiał i jaja;38 szt.;356.82 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;78;Jajka L 10szt;Nabiał i jaja;36 szt.;365.04 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;136;Chleb pszenny 500g;Pieczywo;51 szt.;371.79 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;136;Masło 200g;Nabiał i jaja;41 szt.;384.99 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;92;Chleb pszenny 500g;Pieczywo;61 szt.;444.69 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-02;92;Masło 200g;Nabiał i jaja;48 szt.;450.72 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;115;Jajka L 10szt;Nabiał i jaja;31 szt.;314.34 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;136;Jajka L 10szt;Nabiał i jaja;35 szt.;354.9 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;92;Jajka L 10szt;Nabiał i jaja;41 szt.;415.74 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;78;Jajka L 10szt;Nabiał i jaja;47 szt.;476.58 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;115;Masło 200g;Nabiał i jaja;56 szt.;525.84 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;115;Chleb pszenny 500g;Pieczywo;76 szt.;554.04 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;136;Masło 200g;Nabiał i jaja;60 szt.;563.4 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;136;Chleb pszenny 500g;Pieczywo;81 szt.;590.49 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;132;Jajka L 10szt;Nabiał i jaja;64 szt.;648.96 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-03;92;Masło 200g;Nabiał i jaja;74 szt.;694.86 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-04;115;Jajka L 10szt;Nabiał i jaja;36 szt.;365.04 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-04;136;Jajka L 10szt;Nabiał i jaja;38 szt.;385.32 PLN;Średni błąd modelu (MAPE) to 117.8%
2026-04-04;92;Jajka L 10szt;Nabiał i jaja;45 szt.;456.3 PLN;Średni błąd modelu (MAPE) to 117.8%
