Data;ID Sklepu;Nazwa produktu;Kategoria;Zalecana ilość do zamówienia;Łączny koszt (PLN)
2026-04-01;20;Truskawki 500g;Warzywa i owoce;13 kg/szt.;89.66 PLN
2026-04-01;20;Jajka L 10szt;Nabiał i jaja;123 szt.;1247.22 PLN
2026-04-01;20;Chleb pszenny 500g;Pieczywo;252 szt.;1837.08 PLN
2026-04-01;20;Masło 200g;Nabiał i jaja;227 szt.;2131.53 PLN
2026-04-01;20;Pieczywo razowe 400g;Pieczywo;328 szt.;2391.12 PLN
2026-04-01;20;Twaróg 250g;Nabiał i jaja;352 szt.;2830.08 PLN
2026-04-01;20;Jabłka 1kg;Warzywa i owoce;668 kg/szt.;2999.32 PLN
2026-04-01;20;Banany 1kg;Warzywa i owoce;611 kg/szt.;3537.69 PLN
2026-04-01;20;Mleko UHT 3.2% 1L;Nabiał i jaja;892 szt.;4094.28 PLN
2026-04-01;20;Marchew 1kg;Warzywa i owoce;635 kg/szt.;4379.38 PLN
2026-04-02;20;Truskawki 500g;Warzywa i owoce;14 kg/szt.;96.55 PLN
2026-04-02;20;Jajka L 10szt;Nabiał i jaja;130 szt.;1318.2 PLN
2026-04-02;20;Chleb pszenny 500g;Pieczywo;270 szt.;1968.3 PLN
2026-04-02;20;Masło 200g;Nabiał i jaja;244 szt.;2291.16 PLN
2026-04-02;20;Pieczywo razowe 400g;Pieczywo;354 szt.;2580.66 PLN
2026-04-02;20;Twaróg 250g;Nabiał i jaja;388 szt.;3119.52 PLN
2026-04-02;20;Jabłka 1kg;Warzywa i owoce;701 kg/szt.;3147.49 PLN
2026-04-02;20;Banany 1kg;Warzywa i owoce;654 kg/szt.;3786.66 PLN
2026-04-02;20;Mleko UHT 3.2% 1L;Nabiał i jaja;946 szt.;4342.14 PLN
2026-04-02;20;Marchew 1kg;Warzywa i owoce;682 kg/szt.;4703.53 PLN
2026-04-03;20;Truskawki 500g;Warzywa i owoce;18 kg/szt.;124.14 PLN
2026-04-03;20;Jajka L 10szt;Nabiał i jaja;170 szt.;1723.8 PLN
2026-04-03;20;Chleb pszenny 500g;Pieczywo;409 szt.;2981.61 PLN
2026-04-03;20;Masło 200g;Nabiał i jaja;328 szt.;3079.92 PLN
2026-04-03;20;Pieczywo razowe 400g;Pieczywo;546 szt.;3980.34 PLN
2026-04-03;20;Jabłka 1kg;Warzywa i owoce;958 kg/szt.;4301.42 PLN
2026-04-03;20;Twaróg 250g;Nabiał i jaja;570 szt.;4582.8 PLN
2026-04-03;20;Banany 1kg;Warzywa i owoce;929 kg/szt.;5378.91 PLN
2026-04-03;20;Mleko UHT 3.2% 1L;Nabiał i jaja;1180 szt.;5416.2 PLN
2026-04-03;20;Marchew 1kg;Warzywa i owoce;965 kg/szt.;6655.28 PLN
2026-04-04;20;Truskawki 500g;Warzywa i owoce;21 kg/szt.;144.83 PLN
2026-04-04;20;Jajka L 10szt;Nabiał i jaja;189 szt.;1916.46 PLN
2026-04-04;20;Chleb pszenny 500g;Pieczywo;441 szt.;3214.89 PLN
2026-04-04;20;Masło 200g;Nabiał i jaja;354 szt.;3324.06 PLN
2026-04-04;20;Pieczywo razowe 400g;Pieczywo;608 szt.;4432.32 PLN
2026-04-04;20;Jabłka 1kg;Warzywa i owoce;1015 kg/szt.;4557.35 PLN
2026-04-04;20;Twaróg 250g;Nabiał i jaja;596 szt.;4791.84 PLN
2026-04-04;20;Mleko UHT 3.2% 1L;Nabiał i jaja;1333 szt.;6118.47 PLN
2026-04-04;20;Banany 1kg;Warzywa i owoce;1096 kg/szt.;6345.84 PLN
2026-04-04;20;Marchew 1kg;Warzywa i owoce;1076 kg/szt.;7420.81 PLN
2026-04-05;20;Truskawki 500g;Warzywa i owoce;11 kg/szt.;75.86 PLN
2026-04-05;20;Jajka L 10szt;Nabiał i jaja;64 szt.;648.96 PLN
2026-04-05;20;Chleb pszenny 500g;Pieczywo;145 szt.;1057.05 PLN
2026-04-05;20;Pieczywo razowe 400g;Pieczywo;159 szt.;1159.11 PLN
2026-04-05;20;Masło 200g;Nabiał i jaja;126 szt.;1183.14 PLN
2026-04-05;20;Jabłka 1kg;Warzywa i owoce;372 kg/szt.;1670.28 PLN
2026-04-05;20;Twaróg 250g;Nabiał i jaja;243 szt.;1953.72 PLN
2026-04-05;20;Mleko UHT 3.2% 1L;Nabiał i jaja;485 szt.;2226.15 PLN
2026-04-05;20;Banany 1kg;Warzywa i owoce;404 kg/szt.;2339.16 PLN
2026-04-05;20;Marchew 1kg;Warzywa i owoce;364 kg/szt.;2510.39 PLN
2026-04-06;20;Truskawki 500g;Warzywa i owoce;13 kg/szt.;89.66 PLN
2026-04-06;20;Jajka L 10szt;Nabiał i jaja;123 szt.;1247.22 PLN
2026-04-06;20;Chleb pszenny 500g;Pieczywo;246 szt.;1793.34 PLN
2026-04-06;20;Masło 200g;Nabiał i jaja;224 szt.;2103.36 PLN
2026-04-06;20;Pieczywo razowe 400g;Pieczywo;323 szt.;2354.67 PLN
2026-04-06;20;Twaróg 250g;Nabiał i jaja;349 szt.;2805.96 PLN
2026-04-06;20;Jabłka 1kg;Warzywa i owoce;650 kg/szt.;2918.5 PLN
2026-04-06;20;Banany 1kg;Warzywa i owoce;588 kg/szt.;3404.52 PLN
2026-04-06;20;Mleko UHT 3.2% 1L;Nabiał i jaja;874 szt.;4011.66 PLN
2026-04-06;20;Marchew 1kg;Warzywa i owoce;616 kg/szt.;4248.35 PLN
2026-04-07;20;Truskawki 500g;Warzywa i owoce;13 kg/szt.;89.66 PLN
2026-04-07;20;Jajka L 10szt;Nabiał i jaja;122 szt.;1237.08 PLN
2026-04-07;20;Chleb pszenny 500g;Pieczywo;248 szt.;1807.92 PLN
2026-04-07;20;Masło 200g;Nabiał i jaja;224 szt.;2103.36 PLN
2026-04-07;20;Pieczywo razowe 400g;Pieczywo;324 szt.;2361.96 PLN
2026-04-07;20;Twaróg 250g;Nabiał i jaja;349 szt.;2805.96 PLN
2026-04-07;20;Jabłka 1kg;Warzywa i owoce;654 kg/szt.;2936.46 PLN
2026-04-07;20;Banany 1kg;Warzywa i owoce;592 kg/szt.;3427.68 PLN
2026-04-07;20;Mleko UHT 3.2% 1L;Nabiał i jaja;875 szt.;4016.25 PLN
2026-04-07;20;Marchew 1kg;Warzywa i owoce;619 kg/szt.;4269.04 PLN
